pair_id,a_age,a_education,a_location,a_career_field,a_career_ambition,a_openness,a_extraversion,a_agreeableness,a_conscientiousness,a_chronotype,a_spontaneity,a_love_language,a_emotional_expressiveness,b_age,b_education,b_location,b_career_field,b_career_ambition,b_openness,b_extraversion,b_agreeableness,b_conscientiousness,b_chronotype,b_spontaneity,b_love_language,b_emotional_expressiveness,compatibility_score,compatible,relationship_longevity_months
43063,42,1,Suburban,Science,0.45,0.03,0.12,0.35,0.28,0.48,0.88,Quality Time,0.65,44,2,Urban,Education,0.58,0.67,0.58,0.5,0.38,0.21,0.74,Physical Touch,0.5,56.3,0,63
43064,39,3,Suburban,Education,0.76,0.3,0.63,0.56,0.18,0.52,0.25,Quality Time,0.33,48,2,Suburban,Education,0.38,0.53,0.37,0.78,0.9,0.44,0.77,Words of Affirmation,0.24,52.4,0,60
43065,51,4,Urban,Marketing,0.59,0.48,0.85,0.33,0.47,0.87,0.17,Receiving Gifts,0.85,46,3,Suburban,Healthcare,0.34,0.37,0.52,0.3,0.79,0.47,0.41,Quality Time,0.56,68.3,1,40
43066,35,2,Urban,Marketing,0.55,0.37,0.14,0.23,0.71,0.71,0.26,Receiving Gifts,0.84,55,1,Urban,Finance,0.27,0.06,0.8,0.46,0.59,0.16,0.27,Physical Touch,0.46,62.8,0,82
43067,33,3,Suburban,Entrepreneurship,0.48,0.07,0.79,0.84,0.81,0.71,0.53,Physical Touch,0.33,49,2,Suburban,Law,0.49,0.14,0.67,0.3,0.52,0.66,0.67,Words of Affirmation,0.61,67.7,1,77
43068,46,2,Suburban,Science,0.64,0.37,0.5,0.6,0.35,0.82,0.42,Quality Time,0.77,43,2,Suburban,Entrepreneurship,0.23,0.85,0.24,0.33,0.52,0.26,0.88,Acts of Service,0.73,59.2,0,85
43069,47,4,Urban,Entrepreneurship,0.36,0.2,0.36,0.84,0.59,0.75,0.5,Physical Touch,0.21,54,4,Urban,Engineering,0.5,0.79,0.31,0.69,0.26,0.83,0.67,Physical Touch,0.74,67.0,1,65
43070,47,4,Urban,Tech,0.49,0.22,0.63,0.46,0.26,0.75,0.88,Words of Affirmation,0.7,25,4,Urban,Marketing,0.6,0.77,0.36,0.74,0.87,0.77,0.57,Physical Touch,0.36,62.3,0,61
43071,37,4,Rural,Finance,0.65,0.52,0.14,0.73,0.45,0.83,0.49,Acts of Service,0.1,47,4,Urban,Marketing,0.55,0.68,0.76,0.32,0.78,0.71,0.49,Acts of Service,0.51,65.5,1,85
43072,39,4,Suburban,Marketing,0.77,0.67,0.81,0.75,0.65,0.45,0.53,Acts of Service,0.33,22,2,Urban,Healthcare,0.26,0.33,0.23,0.75,0.34,0.4,0.74,Physical Touch,0.16,58.8,0,64
43073,51,2,Urban,Engineering,0.47,0.77,0.24,0.17,0.41,0.74,0.56,Words of Affirmation,0.08,39,2,Rural,Education,0.23,0.71,0.27,0.36,0.41,0.54,0.45,Acts of Service,0.82,73.1,1,75
43074,21,3,Rural,Finance,0.6,0.56,0.22,0.29,0.63,0.58,0.94,Quality Time,0.62,22,2,Suburban,Tech,0.5,0.57,0.48,0.75,0.81,0.62,0.02,Acts of Service,0.49,56.7,0,55
43075,48,4,Suburban,Creative Arts,0.61,0.58,0.46,0.64,0.56,0.86,0.32,Physical Touch,0.45,44,4,Suburban,Marketing,0.46,0.68,0.64,0.33,0.82,0.61,0.45,Words of Affirmation,0.34,68.6,1,71
43076,31,5,Suburban,Law,0.53,0.36,0.63,0.53,0.46,0.9,0.32,Quality Time,0.57,52,2,Urban,Tech,0.59,0.51,0.25,0.48,0.48,0.34,0.62,Acts of Service,0.44,65.4,1,85
43077,25,4,Urban,Creative Arts,0.38,0.97,0.53,0.38,0.27,0.48,0.76,Words of Affirmation,0.45,24,4,Suburban,Law,0.41,0.31,0.64,0.17,0.09,0.14,0.12,Words of Affirmation,0.73,50.7,0,82
43078,54,4,Urban,Engineering,0.39,0.42,0.26,0.52,0.26,0.42,0.56,Quality Time,0.49,41,3,Urban,Engineering,0.37,0.43,0.68,0.86,0.73,0.11,0.79,Physical Touch,0.4,64.9,0,72
43079,22,1,Urban,Creative Arts,0.13,0.34,0.65,0.48,0.19,0.13,0.66,Physical Touch,0.87,47,2,Suburban,Entrepreneurship,0.71,0.65,0.87,0.88,0.81,0.51,0.33,Receiving Gifts,1.0,51.9,0,54
43080,25,4,Suburban,Law,0.31,0.69,0.62,0.42,0.84,0.7,0.66,Receiving Gifts,0.57,39,1,Rural,Law,0.4,0.51,0.65,0.28,0.88,0.29,0.69,Quality Time,0.45,77.0,1,87
43081,28,2,Suburban,Tech,0.27,0.58,0.41,0.6,0.81,0.39,0.46,Receiving Gifts,0.98,28,1,Rural,Science,0.48,0.56,0.73,0.62,0.39,0.07,0.99,Physical Touch,0.31,44.1,0,42
43082,46,4,Suburban,Law,0.75,0.27,0.32,0.55,0.52,0.32,0.37,Quality Time,0.59,33,2,Urban,Engineering,0.66,0.63,0.67,0.64,0.71,0.62,0.11,Words of Affirmation,0.73,67.4,1,67
43083,38,1,Rural,Entrepreneurship,0.23,0.68,0.6,0.76,0.58,0.68,0.26,Physical Touch,0.62,51,3,Suburban,Creative Arts,0.2,0.19,0.44,0.87,0.8,0.85,0.2,Physical Touch,0.66,84.8,1,105
43084,30,2,Rural,Finance,0.46,0.43,0.31,0.66,0.29,0.38,0.43,Physical Touch,0.58,18,3,Urban,Marketing,0.2,0.24,0.17,0.8,0.2,0.5,0.61,Quality Time,0.56,69.9,1,55
43085,36,3,Urban,Science,0.56,0.36,0.31,0.65,0.78,0.61,0.43,Words of Affirmation,0.76,50,1,Urban,Law,0.3,0.25,0.72,0.45,0.68,0.88,0.32,Receiving Gifts,0.72,69.2,1,88
43086,20,2,Urban,Law,0.18,0.91,0.36,0.51,0.51,0.32,0.59,Quality Time,0.05,43,2,Suburban,Finance,0.45,0.12,0.24,0.24,0.25,0.19,0.17,Words of Affirmation,0.89,37.3,0,40
43087,51,4,Suburban,Law,0.44,0.67,0.81,0.53,0.36,0.19,0.87,Quality Time,0.38,18,3,Urban,Engineering,0.39,0.74,0.07,0.57,0.83,0.62,0.54,Receiving Gifts,0.09,52.5,0,54
43088,55,1,Urban,Marketing,0.35,0.78,0.63,0.82,0.75,0.74,0.08,Words of Affirmation,0.26,54,3,Suburban,Creative Arts,0.59,0.91,0.4,0.58,0.75,0.51,0.6,Physical Touch,0.44,82.1,1,66
43089,36,4,Urban,Entrepreneurship,0.54,0.8,0.35,0.75,0.45,0.32,0.08,Acts of Service,0.2,30,3,Suburban,Law,0.51,0.9,0.85,0.2,0.38,0.42,0.47,Acts of Service,0.37,75.5,1,79
43090,49,3,Urban,Entrepreneurship,0.48,0.75,0.43,0.36,0.78,0.79,0.77,Physical Touch,0.49,52,1,Suburban,Finance,0.28,0.63,0.32,0.13,0.34,0.48,0.26,Physical Touch,0.12,77.8,1,70
43091,53,1,Urban,Entrepreneurship,0.3,0.76,0.71,0.15,0.59,0.51,0.24,Receiving Gifts,0.68,20,2,Urban,Education,0.16,0.52,0.3,0.93,0.8,0.83,0.19,Acts of Service,0.74,57.0,0,83
43092,31,2,Suburban,Education,0.25,0.36,0.23,0.31,0.66,0.39,0.3,Words of Affirmation,0.8,18,1,Suburban,Engineering,0.44,0.26,0.55,0.6,0.43,0.56,0.76,Physical Touch,0.38,53.2,0,40
43093,24,3,Urban,Entrepreneurship,0.55,0.33,0.61,0.59,0.94,0.41,0.55,Acts of Service,0.25,36,4,Rural,Healthcare,0.71,0.86,0.61,0.73,0.86,0.52,0.48,Receiving Gifts,0.12,68.5,1,61
43094,37,3,Urban,Engineering,0.75,0.59,0.82,0.59,0.75,0.73,0.82,Words of Affirmation,0.47,29,3,Urban,Tech,0.66,0.65,0.92,0.64,0.25,0.52,0.64,Quality Time,0.36,70.4,1,88
43095,49,3,Urban,Healthcare,0.21,0.27,0.22,0.81,0.16,0.82,0.31,Quality Time,0.7,22,3,Suburban,Finance,0.46,0.32,0.48,0.67,0.31,0.36,0.38,Receiving Gifts,0.64,68.2,1,91
43096,48,4,Urban,Entrepreneurship,0.71,0.24,0.39,0.76,0.33,0.69,0.4,Acts of Service,0.7,40,5,Urban,Creative Arts,0.53,0.45,0.61,0.53,0.43,0.92,0.32,Words of Affirmation,0.34,77.5,1,101
43097,39,3,Urban,Science,0.55,0.23,0.91,0.48,0.55,0.97,0.72,Physical Touch,0.47,18,2,Urban,Finance,0.48,0.34,0.99,0.76,0.34,0.25,0.16,Physical Touch,0.29,82.1,1,62
43098,22,1,Rural,Engineering,0.52,0.62,0.32,0.72,0.08,0.72,0.47,Physical Touch,0.1,37,5,Urban,Engineering,0.45,0.95,0.07,0.53,0.58,0.09,0.49,Receiving Gifts,0.78,69.8,1,82
43099,48,2,Urban,Tech,0.47,0.57,0.67,0.23,0.37,0.41,0.88,Words of Affirmation,0.26,30,1,Suburban,Engineering,0.44,0.49,0.21,0.53,0.57,0.77,0.87,Physical Touch,0.0,62.8,0,60
43100,32,1,Urban,Finance,0.51,0.61,0.15,0.26,0.18,0.39,0.18,Acts of Service,0.81,29,2,Rural,Creative Arts,0.4,0.13,0.59,0.46,0.67,0.69,0.68,Receiving Gifts,0.05,46.9,0,86
43101,34,4,Suburban,Finance,0.72,0.3,0.73,0.51,0.27,0.77,0.24,Words of Affirmation,0.82,34,3,Rural,Engineering,0.38,0.47,0.76,0.4,0.7,0.86,0.49,Physical Touch,0.54,59.7,0,94
43102,54,2,Urban,Engineering,0.63,0.38,0.47,0.79,0.85,0.47,0.79,Physical Touch,0.59,53,3,Suburban,Entrepreneurship,0.52,0.24,0.44,0.45,0.17,0.38,0.61,Acts of Service,0.55,48.3,0,37
43103,36,3,Urban,Healthcare,0.34,0.2,0.18,0.24,0.34,0.51,0.33,Receiving Gifts,0.16,50,5,Suburban,Marketing,0.81,0.59,0.48,0.17,0.46,0.34,0.31,Quality Time,0.59,54.0,0,48
43104,27,2,Urban,Engineering,0.42,0.24,0.3,0.34,0.22,0.72,0.24,Quality Time,0.07,23,2,Urban,Engineering,0.59,0.16,0.7,0.92,0.59,0.27,0.63,Acts of Service,0.23,62.0,0,56
43105,51,3,Suburban,Science,0.77,0.55,0.21,0.24,0.35,0.8,0.54,Physical Touch,0.75,50,2,Urban,Education,0.46,0.68,0.81,0.33,0.57,0.29,0.48,Receiving Gifts,0.84,48.7,0,43
43106,42,2,Suburban,Engineering,0.36,0.15,0.74,0.08,0.75,0.45,0.56,Words of Affirmation,0.53,47,2,Suburban,Entrepreneurship,0.48,0.21,0.48,0.52,0.38,0.87,0.78,Receiving Gifts,0.29,66.1,1,78
43107,54,4,Suburban,Entrepreneurship,0.67,0.07,0.72,0.36,0.24,0.87,0.76,Receiving Gifts,0.53,31,1,Suburban,Finance,0.0,0.71,0.68,0.74,0.2,0.87,0.31,Acts of Service,0.46,62.0,0,67
43108,45,3,Urban,Creative Arts,0.62,0.53,0.24,0.66,0.42,0.63,0.51,Quality Time,0.57,38,4,Urban,Tech,0.42,0.31,0.82,0.38,0.29,0.26,0.11,Words of Affirmation,0.8,55.1,0,42
43109,32,3,Urban,Marketing,0.37,0.87,0.72,0.66,0.47,0.81,0.19,Quality Time,0.43,22,2,Suburban,Law,0.44,0.67,0.37,0.67,0.15,0.35,0.2,Acts of Service,0.2,59.5,0,22
43110,37,5,Urban,Tech,0.78,0.75,0.37,0.21,0.22,0.03,0.71,Physical Touch,0.31,27,4,Rural,Marketing,0.36,0.03,0.1,0.62,0.45,0.79,0.39,Quality Time,0.34,44.6,0,45
43111,30,2,Urban,Tech,0.32,0.72,0.5,0.32,0.58,0.83,0.47,Receiving Gifts,0.53,30,2,Urban,Marketing,0.23,0.18,0.69,0.72,0.24,0.06,0.71,Words of Affirmation,0.94,65.0,1,63
43112,37,3,Urban,Finance,0.48,0.66,0.75,0.58,0.42,0.95,0.56,Acts of Service,0.58,48,4,Urban,Tech,0.49,0.6,0.85,0.26,0.16,0.16,0.59,Quality Time,0.95,65.2,1,80
43113,48,3,Suburban,Engineering,0.65,0.52,0.2,0.46,0.6,0.46,0.37,Quality Time,0.38,24,4,Suburban,Education,0.26,0.27,0.68,0.48,0.45,0.72,0.51,Physical Touch,0.94,61.3,0,71
43114,35,2,Urban,Law,0.05,0.67,0.63,0.05,0.96,0.64,0.43,Quality Time,0.61,55,5,Urban,Entrepreneurship,0.51,0.11,0.53,0.35,0.73,0.41,0.16,Quality Time,0.43,52.1,0,65
43115,45,4,Urban,Entrepreneurship,0.39,0.32,0.38,0.44,0.69,0.46,0.9,Receiving Gifts,0.29,29,4,Urban,Entrepreneurship,0.56,0.61,0.49,0.84,0.79,0.59,0.68,Quality Time,0.55,59.8,0,94
43116,21,3,Urban,Science,0.6,0.73,0.37,0.39,0.41,0.5,0.07,Acts of Service,0.54,55,1,Suburban,Finance,0.03,0.19,0.62,0.59,0.49,0.62,0.33,Receiving Gifts,0.45,52.7,0,81
43117,41,1,Suburban,Engineering,0.11,0.48,0.52,0.5,0.52,0.57,0.41,Quality Time,0.3,48,4,Urban,Creative Arts,0.4,0.61,0.15,0.57,0.67,0.9,0.25,Physical Touch,0.59,63.3,0,29
43118,26,2,Urban,Marketing,0.18,0.39,0.16,0.53,0.47,0.6,0.74,Receiving Gifts,0.26,41,3,Urban,Science,0.44,0.6,0.68,0.43,0.23,0.24,0.39,Acts of Service,0.31,62.5,0,78
43119,49,3,Suburban,Entrepreneurship,0.44,0.55,0.5,0.62,0.1,0.63,0.56,Words of Affirmation,0.86,31,4,Suburban,Engineering,0.66,0.6,0.25,0.02,0.92,0.73,0.37,Quality Time,0.52,51.6,0,29
43120,49,4,Urban,Creative Arts,0.64,0.53,0.61,0.28,0.61,0.77,0.4,Physical Touch,0.24,22,3,Suburban,Marketing,0.55,0.75,0.45,0.67,0.8,0.14,0.6,Physical Touch,0.32,82.8,1,100
43121,38,4,Urban,Creative Arts,0.69,0.58,0.89,0.79,0.5,0.46,0.64,Receiving Gifts,0.81,49,3,Suburban,Education,0.49,0.5,0.76,0.57,0.63,0.57,0.93,Words of Affirmation,0.36,55.2,0,56
43122,44,3,Suburban,Entrepreneurship,0.66,0.64,0.4,0.75,0.88,0.7,0.31,Words of Affirmation,0.26,30,4,Urban,Science,0.42,0.38,0.75,0.68,0.22,0.8,0.73,Words of Affirmation,1.0,65.2,1,85
43123,53,4,Rural,Marketing,0.56,0.49,0.32,0.73,0.19,0.8,0.2,Quality Time,0.84,34,2,Urban,Science,0.58,0.94,0.94,0.48,0.73,0.18,0.18,Quality Time,0.72,75.1,1,83
43124,25,2,Suburban,Tech,0.41,0.36,0.75,0.75,0.16,0.42,0.2,Receiving Gifts,0.83,55,4,Suburban,Education,0.8,0.15,0.77,0.46,0.57,0.26,0.77,Quality Time,0.5,52.1,0,58
43125,36,3,Suburban,Healthcare,0.39,0.81,0.2,0.68,0.32,0.49,0.72,Acts of Service,0.61,22,1,Urban,Engineering,0.29,0.52,0.79,0.61,0.6,0.42,0.3,Acts of Service,0.66,75.5,1,99
43126,46,3,Urban,Tech,0.37,0.71,0.81,0.81,0.49,0.29,0.53,Acts of Service,0.56,26,1,Urban,Entrepreneurship,0.46,0.77,0.34,0.12,0.51,0.28,0.46,Words of Affirmation,0.25,59.6,0,78
43127,36,5,Urban,Healthcare,0.66,0.22,0.73,0.3,0.89,0.38,0.17,Words of Affirmation,0.23,36,1,Suburban,Marketing,0.35,0.47,0.61,0.18,0.78,0.29,0.56,Words of Affirmation,0.41,64.9,0,91
43128,22,5,Urban,Marketing,0.46,0.43,0.54,0.87,0.8,0.96,0.78,Physical Touch,0.48,54,3,Suburban,Healthcare,0.57,0.84,0.45,0.79,0.38,0.69,0.49,Acts of Service,0.16,54.9,0,74
43129,39,3,Urban,Education,0.67,0.83,0.54,0.39,0.73,0.43,0.77,Words of Affirmation,0.72,36,4,Urban,Law,0.24,0.37,0.39,0.6,0.6,0.67,0.42,Physical Touch,0.13,40.6,0,47
43130,52,2,Rural,Entrepreneurship,0.34,0.2,0.7,0.38,0.82,0.44,0.4,Acts of Service,0.76,32,3,Suburban,Education,0.48,0.22,0.66,0.77,0.68,0.75,0.85,Quality Time,0.68,55.3,0,28
43131,27,4,Suburban,Tech,0.67,0.62,0.26,0.71,0.51,0.94,0.41,Physical Touch,0.08,41,3,Suburban,Creative Arts,0.43,0.5,0.72,0.47,0.34,0.31,0.25,Receiving Gifts,0.73,49.5,0,39
43132,32,1,Suburban,Healthcare,0.37,0.44,0.09,0.59,0.27,0.43,0.25,Quality Time,0.34,52,3,Urban,Entrepreneurship,0.34,0.7,0.76,0.26,0.17,0.43,0.66,Receiving Gifts,0.62,63.0,0,99
43133,19,3,Rural,Law,0.64,0.21,0.7,0.54,0.93,0.37,0.66,Words of Affirmation,0.59,43,4,Urban,Creative Arts,0.69,0.39,0.25,0.21,0.15,0.31,0.6,Words of Affirmation,0.57,65.3,1,65
43134,39,3,Suburban,Tech,0.41,0.88,0.22,0.69,0.63,0.23,0.53,Words of Affirmation,0.38,42,3,Urban,Tech,0.55,0.7,0.07,0.48,0.55,0.77,0.54,Physical Touch,0.41,84.2,1,62
43135,52,2,Suburban,Finance,0.36,0.38,0.77,0.47,0.31,0.79,0.24,Physical Touch,0.29,26,5,Urban,Engineering,0.69,0.48,0.44,0.45,0.75,0.83,0.34,Words of Affirmation,0.41,51.0,0,54
43136,36,3,Suburban,Science,0.42,0.64,0.47,0.39,0.8,0.79,0.18,Acts of Service,0.65,37,1,Rural,Marketing,0.37,0.69,0.49,0.29,0.42,0.81,0.33,Physical Touch,0.68,69.9,1,66
43137,29,3,Urban,Creative Arts,0.5,0.41,0.88,0.47,0.66,0.37,0.8,Quality Time,0.8,49,4,Rural,Marketing,0.54,0.67,0.52,0.11,0.42,0.33,0.76,Quality Time,0.62,82.6,1,99
43138,51,3,Urban,Finance,0.67,0.24,0.6,0.82,0.23,0.45,0.66,Words of Affirmation,0.87,30,5,Suburban,Creative Arts,0.56,0.83,0.41,0.8,0.33,0.42,0.32,Acts of Service,0.64,55.4,0,72
43139,37,4,Rural,Creative Arts,0.58,0.46,0.23,0.32,0.79,0.47,0.74,Words of Affirmation,0.35,44,3,Suburban,Marketing,0.54,0.77,0.47,0.27,0.23,0.46,0.45,Words of Affirmation,0.46,81.9,1,97
43140,24,3,Suburban,Science,0.61,0.65,0.81,0.44,0.48,0.33,0.58,Quality Time,0.91,41,3,Suburban,Marketing,0.44,0.42,0.45,0.71,0.81,0.56,0.46,Acts of Service,0.21,64.0,0,77
43141,41,2,Urban,Engineering,0.48,0.71,0.14,0.26,0.13,0.68,0.87,Quality Time,0.61,26,3,Rural,Entrepreneurship,0.43,0.21,0.9,0.4,0.26,0.26,0.57,Acts of Service,0.49,63.6,0,50
43142,20,1,Urban,Tech,0.32,0.26,0.77,0.11,0.61,0.44,0.56,Receiving Gifts,0.57,21,2,Urban,Finance,0.32,0.38,0.66,0.79,0.69,0.23,0.8,Acts of Service,0.31,66.3,1,66
43143,23,3,Suburban,Engineering,0.34,0.68,0.6,0.39,0.4,0.34,0.19,Acts of Service,0.77,44,3,Urban,Creative Arts,0.61,0.88,0.87,0.53,0.41,0.65,0.52,Acts of Service,0.55,71.1,1,47
43144,50,3,Urban,Creative Arts,0.56,0.47,0.88,0.69,0.37,0.55,0.96,Physical Touch,0.64,41,4,Suburban,Science,0.53,0.6,0.73,0.89,0.09,0.52,0.49,Receiving Gifts,0.86,53.8,0,42
43145,51,3,Rural,Entrepreneurship,0.6,0.13,0.61,0.58,0.57,0.78,0.58,Quality Time,0.43,26,2,Suburban,Entrepreneurship,0.57,0.64,0.43,0.81,0.47,0.65,0.62,Words of Affirmation,0.84,59.2,0,35
43146,50,5,Suburban,Science,0.54,0.17,0.35,0.25,0.54,0.3,0.96,Quality Time,0.58,52,1,Urban,Science,0.59,0.31,0.39,0.61,0.22,0.37,0.33,Receiving Gifts,0.46,72.1,1,46
43147,46,2,Rural,Finance,0.21,0.12,0.8,0.53,0.51,0.83,0.55,Acts of Service,0.48,45,2,Urban,Marketing,0.21,0.21,0.74,0.79,0.85,0.88,0.42,Receiving Gifts,0.76,68.9,1,84
43148,40,4,Urban,Law,0.55,0.37,0.14,0.38,0.5,0.63,0.32,Acts of Service,0.47,31,4,Suburban,Law,0.38,0.54,0.38,0.75,0.42,0.17,0.65,Quality Time,0.19,49.7,0,47
43149,21,2,Suburban,Science,0.32,0.96,0.03,0.25,0.66,0.42,0.55,Words of Affirmation,0.8,48,3,Urban,Science,0.46,0.59,0.83,0.75,0.43,0.69,0.72,Receiving Gifts,0.31,51.4,0,117
43150,22,4,Rural,Creative Arts,0.3,0.51,0.43,0.56,0.85,0.61,0.6,Physical Touch,0.58,38,3,Suburban,Engineering,0.4,0.39,0.64,0.78,0.33,0.78,0.89,Quality Time,0.11,56.6,0,48
43151,51,1,Suburban,Marketing,0.48,0.28,0.41,0.39,0.85,0.65,0.7,Quality Time,0.09,23,2,Suburban,Law,0.59,0.18,0.68,0.9,0.47,0.81,0.43,Receiving Gifts,0.38,55.1,0,17
43152,33,2,Urban,Healthcare,0.25,0.64,0.15,0.67,0.94,0.89,0.31,Words of Affirmation,0.34,24,1,Urban,Law,0.22,0.46,0.43,0.56,0.42,0.19,0.55,Physical Touch,0.64,59.0,0,59
43153,20,2,Urban,Education,0.6,0.56,0.42,0.16,0.81,0.71,0.48,Words of Affirmation,0.39,50,1,Urban,Education,0.47,0.27,0.43,0.55,0.4,0.48,0.6,Words of Affirmation,0.29,86.6,1,98
43154,31,4,Urban,Marketing,0.69,0.71,0.57,0.54,0.48,0.08,0.36,Receiving Gifts,0.49,40,1,Urban,Entrepreneurship,0.08,0.19,0.75,0.24,0.91,0.45,0.47,Physical Touch,0.56,52.5,0,26
43155,50,3,Suburban,Finance,0.62,0.42,0.61,0.17,0.78,0.47,0.01,Physical Touch,0.84,46,5,Suburban,Marketing,0.81,0.42,0.19,0.28,0.53,0.34,0.17,Physical Touch,0.3,69.7,1,79
43156,45,3,Suburban,Healthcare,0.5,0.28,0.14,0.64,0.71,0.77,0.32,Quality Time,0.88,25,2,Urban,Science,0.27,0.16,0.92,0.28,0.88,0.23,0.11,Words of Affirmation,0.32,63.2,0,90
43157,32,2,Suburban,Education,0.24,0.73,0.3,0.42,0.77,0.95,0.33,Acts of Service,0.34,48,3,Urban,Creative Arts,0.23,0.34,0.9,0.72,0.61,0.44,0.37,Words of Affirmation,0.91,51.4,0,40
43158,21,2,Urban,Tech,0.38,0.5,0.56,0.42,0.84,0.31,0.09,Acts of Service,0.67,49,2,Urban,Tech,0.64,0.93,0.72,0.26,0.39,0.55,0.57,Receiving Gifts,0.51,53.3,0,69
43159,37,4,Urban,Education,0.64,0.88,0.58,0.8,0.48,0.69,0.64,Physical Touch,0.81,38,1,Urban,Entrepreneurship,0.27,0.47,0.73,0.21,0.52,0.87,0.82,Physical Touch,0.64,73.3,1,60
43160,42,4,Urban,Law,0.87,0.24,0.44,0.4,0.41,0.5,0.45,Physical Touch,0.06,48,4,Urban,Engineering,0.67,0.52,0.52,0.21,0.26,0.46,0.69,Physical Touch,0.86,70.9,1,87
43161,52,1,Suburban,Science,0.55,0.42,0.35,0.86,0.52,0.4,0.74,Receiving Gifts,0.21,37,1,Urban,Science,0.4,0.55,0.48,0.72,0.42,0.26,0.59,Quality Time,0.63,74.5,1,84
43162,39,1,Urban,Tech,0.43,0.1,0.58,0.35,0.34,0.08,0.41,Acts of Service,0.59,30,1,Suburban,Engineering,0.42,0.58,0.3,0.14,0.48,0.18,0.18,Words of Affirmation,0.27,69.3,1,84
43163,52,3,Urban,Finance,0.57,0.78,0.3,0.65,0.44,0.54,0.43,Acts of Service,0.11,48,3,Urban,Marketing,0.58,0.4,0.36,0.68,0.27,0.45,0.64,Quality Time,0.12,71.4,1,92
43164,45,4,Urban,Education,0.68,0.64,0.18,0.54,0.43,0.35,0.85,Words of Affirmation,0.51,22,3,Urban,Law,0.56,0.2,0.0,0.29,0.24,0.1,0.59,Physical Touch,0.56,65.1,1,38
43165,27,1,Urban,Law,0.32,0.31,0.15,0.3,0.75,0.83,0.2,Words of Affirmation,0.04,50,3,Urban,Engineering,0.46,0.31,0.44,0.77,0.68,0.56,0.09,Acts of Service,0.57,59.9,0,91
43166,33,3,Rural,Law,0.57,0.8,0.47,0.81,0.31,0.07,0.73,Acts of Service,0.55,49,5,Urban,Education,0.56,0.94,0.51,0.67,0.53,0.38,0.85,Physical Touch,0.51,73.6,1,59
43167,40,4,Suburban,Engineering,0.6,0.15,0.65,0.83,0.79,0.63,0.49,Words of Affirmation,0.72,34,3,Suburban,Finance,0.67,0.73,0.6,0.95,0.28,0.31,0.46,Receiving Gifts,0.44,54.7,0,71
43168,36,2,Rural,Engineering,0.53,0.17,0.57,0.31,0.77,0.55,0.31,Words of Affirmation,0.41,41,5,Suburban,Engineering,0.45,0.29,0.13,0.37,0.68,0.29,0.76,Physical Touch,0.49,71.3,1,83
43169,18,3,Suburban,Entrepreneurship,0.26,0.7,0.78,0.43,0.21,0.29,0.44,Quality Time,0.68,36,2,Suburban,Entrepreneurship,0.48,0.35,0.97,0.66,0.47,0.58,0.72,Quality Time,0.48,71.3,1,99
43170,18,2,Suburban,Tech,0.12,0.13,0.58,0.43,0.61,0.52,0.55,Receiving Gifts,0.41,33,3,Urban,Finance,0.45,0.9,0.37,0.55,0.65,0.13,0.65,Acts of Service,0.2,50.9,0,31
43171,43,1,Suburban,Entrepreneurship,0.39,0.47,0.49,0.3,0.35,0.09,0.97,Receiving Gifts,0.5,53,2,Suburban,Science,0.4,0.17,0.68,0.45,0.26,0.66,0.8,Words of Affirmation,0.42,65.9,1,51
43172,51,3,Rural,Law,0.48,0.35,0.59,0.26,0.2,0.43,0.76,Receiving Gifts,0.57,27,5,Rural,Marketing,0.75,0.3,0.52,0.33,0.46,0.39,0.28,Quality Time,0.03,56.2,0,92
43173,19,3,Urban,Creative Arts,0.5,0.78,0.65,0.47,0.34,0.83,0.09,Physical Touch,0.75,36,1,Urban,Entrepreneurship,0.4,0.08,0.26,0.7,0.76,0.89,0.37,Words of Affirmation,0.33,54.3,0,44
43174,45,5,Urban,Finance,0.58,0.52,0.32,0.51,0.59,0.29,0.24,Quality Time,0.18,27,2,Suburban,Healthcare,0.36,0.69,0.24,0.52,0.98,0.24,0.29,Words of Affirmation,0.79,46.7,0,64
43175,37,2,Urban,Marketing,0.61,0.06,0.14,0.32,0.6,0.42,0.53,Words of Affirmation,0.26,44,1,Suburban,Law,0.49,0.61,0.21,0.2,0.65,0.29,0.55,Acts of Service,0.47,60.1,0,47
43176,44,2,Urban,Science,0.47,0.72,0.27,0.63,0.99,0.69,0.37,Acts of Service,0.66,50,4,Urban,Law,0.63,0.36,0.77,0.74,0.59,0.77,0.15,Quality Time,0.72,64.1,0,55
43177,45,3,Urban,Education,0.56,0.3,0.62,0.63,0.6,0.5,0.27,Acts of Service,0.32,18,3,Urban,Engineering,0.32,0.93,0.39,0.19,0.76,0.57,0.8,Quality Time,0.15,52.2,0,41
43178,48,5,Suburban,Law,0.5,0.53,0.75,0.37,0.53,0.41,0.64,Physical Touch,0.83,42,4,Suburban,Education,0.75,0.41,0.85,0.59,0.94,0.64,0.48,Words of Affirmation,0.42,64.1,0,72
43179,24,2,Urban,Engineering,0.38,0.55,0.77,0.63,0.21,0.37,0.54,Quality Time,0.7,40,5,Urban,Creative Arts,0.6,0.73,0.37,0.12,0.12,0.66,0.69,Words of Affirmation,0.35,57.0,0,72
43180,25,2,Urban,Entrepreneurship,0.34,0.62,0.43,0.43,0.94,0.61,0.1,Words of Affirmation,0.89,25,3,Rural,Tech,0.59,0.18,0.38,0.6,0.82,0.51,0.87,Acts of Service,0.27,50.9,0,65
